Timing Name,DMT ID,Std 2-Byte Code,CVT 3-Byte Code,RB,Method,PCLK (MHz),H-Freq (kHz),V-Freq (Hz),Scan,H-Pol,V-Pol,H-Total (px),H-Addr (px),H-FP (px),H-Sync (px),H-BP (px),V-Total (ln),V-Addr (ln),V-FP (ln),V-Sync (ln),V-BP (ln),H-Left-Border (px),H-Right-Border (px),V-Top-Border (ln),V-Bottom-Border (ln)
1280 x 1024 @ 75Hz,24h,"(81, 8F)h",n/a,false,*** NOT CVT COMPLIANT ***,135.000,79.976,75.025,NONINTERLACED,POSITIVE,POSITIVE,1688,1280,16,144,248,1066,1024,1,3,38,0,0,0,0
1280 x 1024 @ 85Hz,25h,"(81, 99)h",n/a,false,*** NOT CVT COMPLIANT ***,157.500,91.146,85.024,NONINTERLACED,POSITIVE,POSITIVE,1728,1280,64,160,224,1072,1024,1,3,44,0,0,0,0
1280 x 1024 @ 120Hz CVT (Reduced Blanking),26h,n/a,n/a,true,Generated using CVT (Reduced Blanking) Formula,187.250,130.035,119.958,NONINTERLACED,POSITIVE,NEGATIVE,1440,1280,48,32,80,1084,1024,3,7,50,0,0,0,0
1360 x 768 @ 60Hz,27h,n/a,n/a,false,*** NOT CVT COMPLIANT ***,85.500,47.712,60.015,NONINTERLACED,POSITIVE,POSITIVE,1792,1360,64,112,256,795,768,3,6,18,0,0,0,0
1360 x 768 @ 120Hz CVT (Reduced Blanking),28h,n/a,n/a,true,Generated using CVT (Reduced Blanking) Formula,148.250,97.533,119.967,NONINTERLACED,POSITIVE,NEGATIVE,1520,1360,48,32,80,813,768,3,5,37,0,0,0,0
1366 x 768 @ 60Hz,51h,n/a,n/a,false,*** NOT CVT COMPLIANT ***,85.500,47.712,59.790,NONINTERLACED,POSITIVE,POSITIVE,1792,1366,70,143,213,798,768,3,3,24,0,0,0,0
1366 x 768 @ 60Hz,56h,n/a,n/a,true,*** NOT CVT COMPLIANT ***,72.000,48.000,60.000,NONINTERLACED,POSITIVE,POSITIVE,1500,1366,14,56,64,800,768,1,3,28,0,0,0,0
1400 x 1050 @ 60Hz CVT (Reduced Blanking),29h,n/a,"(0C, 20, 21)h",true,CVT Reduced Blanking,101.000,64.744,59.948,NONINTERLACED,POSITIVE,NEGATIVE,1560,1400,48,32,80,1080,1050,3,4,23,0,0,0,0
1400 x 1050 @ 60Hz,2Ah,"(90, 40)h","(0C, 20, 28)h",false,CVT Compliant,121.750,65.317,59.978,NONINTERLACED,NEGATIVE,POSITIVE,1864,1400,88,144,232,1089,1050,3,4,32,0,0,0,0
1400 x 1050 @ 75Hz,2Bh,"(90, 4F)h","(0C, 20, 44)h",false,CVT Compliant,156.000,82.278,74.867,NONINTERLACED,NEGATIVE,POSITIVE,1896,1400,104,144,248,1099,1050,3,4,42,0,0,0,0
1400 x 1050 @ 85Hz,2Ch,"(90, 59)h","(0C, 20, 62)h",false,CVT Compliant,179.500,93.881,84.960,NONINTERLACED,NEGATIVE,POSITIVE,1912,1400,104,152,256,1105,1050,3,4,48,0,0,0,0
1400 x 1050 @ 120Hz CVT (Reduced Blanking),2Dh,n/a,n/a,true,Generated using CVT (Reduced Blanking) Formula,208.000,133.333,119.904,NONINTERLACED,POSITIVE,NEGATIVE,1560,1400,48,32,80,1112,1050,3,4,55,0,0,0,0
1440 x 900 @ 60Hz CVT (Reduced Blanking),2Eh,n/a,"(C1, 18, 21)h",true,CVT Reduced Blanking,88.750,55.469,59.901,NONINTERLACED,POSITIVE,NEGATIVE,1600,1440,48,32,80,926,900,3,6,17,0,0,0,0
1440 x 900 @ 60Hz,2Fh,"(95, 00)h","(C1, 18, 28)h",false,CVT Compliant,106.500,55.935,59.887,NONINTERLACED,NEGATIVE,POSITIVE,1904,1440,80,152,232,934,900,3,6,25,0,0,0,0
1440 x 900 @ 75Hz,30h,"(95, 0F)h","(C1, 18, 44)h",false,CVT Compliant,136.750,70.635,74.984,NONINTERLACED,NEGATIVE,POSITIVE,1936,1440,96,152,248,942,900,3,6,33,0,0,0,0
1440 x 900 @ 85Hz,31h,"(95, 19)h","(C1, 18, 68)h",false,CVT Compliant,157.000,80.430,84.842,NONINTERLACED,NEGATIVE,POSITIVE,1952,1440,104,152,256,948,900,3,6,39,0,0,0,0
1440 x 900 @ 120Hz CVT (Reduced Blanking),32h,n/a,n/a,true,Generated using CVT (Reduced Blanking) Formula,182.750,114.219,119.852,NONINTERLACED,POSITIVE,NEGATIVE,1600,1440,48,32,80,953,900,3,6,44,0,0,0,0
1600 x 900 @ 60Hz,53h,"A9h, C0h",n/a,true,*** NOT CVT COMPLIANT ***,108.000,60.000,60.000,NONINTERLACED,POSITIVE,POSITIVE,1800,1600,24,80,96,1000,900,1,3,96,0,0,0,0
1600 x 1200 @ 60Hz,33h,"(A9, 40)h",n/a,false,*** NOT CVT COMPLIANT ***,162.000,75.000,60.000,NONINTERLACED,POSITIVE,POSITIVE,2160,1600,64,192,304,1250,1200,1,3,46,0,0,0,0
1600 x 1200 @ 65Hz,34h,"(A9, 45)h",n/a,false,*** NOT CVT COMPLIANT ***,175.500,81.250,65.000,NONINTERLACED,POSITIVE,POSITIVE,2160,1600,64,192,304,1250,1200,1,3,46,0,0,0,0
1600 x 1200 @ 70Hz,35h,"(A9, 4A)h",n/a,false,*** NOT CVT COMPLIANT ***,189.000,87.500,70.000,NONINTERLACED,POSITIVE,POSITIVE,2160,1600,64,192,304,1250,1200,1,3,46,0,0,0,0
1600 x 1200 @ 75Hz,36h,"(A9, 4F)h",n/a,false,*** NOT CVT COMPLIANT ***,202.500,93.750,75.000,NONINTERLACED,POSITIVE,POSITIVE,2160,1600,64,192,304,1250,1200,1,3,46,0,0,0,0
1600 x 1200 @ 85Hz,37h,"(A9, 59)h",n/a,false,*** NOT CVT COMPLIANT ***,229.500,106.250,85.000,NONINTERLACED,POSITIVE,POSITIVE,2160,1600,64,192,304,1250,1200,1,3,46,0,0,0,0
1600 x 1200 @ 120Hz CVT (Reduced Blanking),38h,n/a,n/a,true,Generated using CVT (Reduced Blanking) Formula,268.250,152.415,119.917,NONINTERLACED,POSITIVE,NEGATIVE,1760,1600,48,32,80,1271,1200,3,4,64,0,0,0,0
1680 x 1050 @ 60Hz CVT (Reduced Blanking),39h,n/a,"(0C, 28, 21)h",true,CVT Reduced Blanking,119.000,64.674,59.883,NONINTERLACED,POSITIVE,NEGATIVE,1840,1680,48,32,80,1080,1050,3,6,21,0,0,0,0
1680 x 1050 @ 60Hz,3Ah,"(B3, 00)h","(0C, 28, 28)h",false,CVT Compliant,146.250,65.290,59.954,NONINTERLACED,NEGATIVE,POSITIVE,2240,1680,104,176,280,1089,1050,3,6,30,0,0,0,0
1680 x 1050 @ 75Hz,3Bh,"(B3, 0F)h","(0C, 28, 44)h",false,CVT Compliant,187.000,82.306,74.892,NONINTERLACED,NEGATIVE,POSITIVE,2272,1680,120,176,296,1099,1050,3,6,40,0,0,0,0
1680 x 1050 @ 85Hz,3Ch,"(B3, 19)h","(0C, 28, 68)h",false,CVT Compliant,214.750,93.859,84.941,NONINTERLACED,NEGATIVE,POSITIVE,2288,1680,128,176,304,1105,1050,3,6,46,0,0,0,0
1680 x 1050 @ 120Hz CVT (Reduced Blanking),3Dh,n/a,n/a,true,Generated using CVT (Reduced Blanking) Formula,245.500,133.424,119.986,NONINTERLACED,POSITIVE,NEGATIVE,1840,1680,48,32,80,1112,1050,3,6,53,0,0,0,0
1792 x 1344 @ 60 Hz,3Eh,"(C1, 40)h",n/a,false,*** NOT CVT COMPLIANT ***,204.750,83.640,60.000,NONINTERLACED,NEGATIVE,POSITIVE,2448,1792,128,200,328,1394,1344,1,3,46,0,0,0,0
1792 x 1344 @ 75Hz,3Fh,"(C1, 4F)h",n/a,false,*** NOT CVT COMPLIANT ***,261.000,106.270,74.997,NONINTERLACED,NEGATIVE,POSITIVE,2456,1792,96,216,352,1417,1344,1,3,69,0,0,0,0
1792 x 1344 @ 120Hz CVT (Reduced Blanking),40h,n/a,n/a,true,Generated using CVT (Reduced Blanking) Formula,333.250,170.722,119.974,NONINTERLACED,POSITIVE,NEGATIVE,1952,1792,48,32,80,1423,1344,3,4,72,0,0,0,0
1856 x 1392 at 60Hz,41h,"(C9, 40)h",n/a,false,*** NOT CVT COMPLIANT ***,218.250,86.333,59.995,NONINTERLACED,NEGATIVE,POSITIVE,2528,1856,96,224,352,1439,1392,1,3,43,0,0,0,0
1856 x 1392 @ 75Hz,42h,"(C9, 4F)h",n/a,false,*** NOT CVT COMPLIANT ***,288.000,112.500,75.000,NONINTERLACED,NEGATIVE,POSITIVE,2560,1856,128,224,352,1500,1392,1,3,104,0,0,0,0
1856 x 1392 @ 120Hz CVT (Reduced Blanking),43h,n/a,n/a,true,Generated using CVT (Reduced Blanking) Formula,356.500,176.835,119.970,NONINTERLACED,POSITIVE,NEGATIVE,2016,1856,48,32,80,1474,1392,3,4,75,0,0,0,0
1920 x 1080 @ 60Hz,52h,"(D1, C0)h",n/a,false,*** NOT CVT COMPLIANT ***,148.500,67.500,60.000,NONINTERLACED,POSITIVE,POSITIVE,2200,1920,88,44,148,1125,1080,4,5,36,0,0,0,0
1920 x 1200 @ 60Hz CVT (Reduced Blanking),44h,n/a,"(57, 28, 21)h",true,CVT Reduced Blanking,154.000,74.038,59.950,NONINTERLACED,POSITIVE,NEGATIVE,2080,1920,48,32,80,1235,1200,3,6,26,0,0,0,0
1920 x 1200 @ 60Hz,45h,"(D1, 00)h","(57, 28, 28)h",false,CVT Compliant,193.250,74.556,59.885,NONINTERLACED,NEGATIVE,POSITIVE,2592,1920,136,200,336,1245,1200,3,6,36,0,0,0,0
1920 x 1200 @ 75Hz,46h,"(D1, 0F)h","(57, 28, 44)h",false,CVT Compliant,245.250,94.038,74.930,NONINTERLACED,NEGATIVE,POSITIVE,2608,1920,136,208,344,1255,1200,3,6,46,0,0,0,0
1920 x 1200 @ 85Hz,47h,"(D1, 19)h","(57, 28, 62)h",false,CVT Compliant,281.250,107.184,84.932,NONINTERLACED,NEGATIVE,POSITIVE,2624,1920,144,208,352,1262,1200,3,6,53,0,0,0,0
1920 x 1200 @ 120Hz CVT (Reduced Blanking),48h,n/a,n/a,true,Generated using CVT (Reduced Blanking) Formula,317.000,152.404,119.909,NONINTERLACED,POSITIVE,NEGATIVE,2080,1920,48,32,80,1271,1200,3,6,62,0,0,0,0
1920 x 1440 @ 60Hz,49h,"(D1, 40)h",n/a,false,*** NOT CVT COMPLIANT ***,234.000,90.000,60.000,NONINTERLACED,NEGATIVE,POSITIVE,2600,1920,128,208,344,1500,1440,1,3,56,0,0,0,0
1920 x 1440 @ 75Hz,4Ah,"(D1, 4F)h",n/a,false,*** NOT CVT COMPLIANT ***,297.000,112.500,75.000,NONINTERLACED,NEGATIVE,POSITIVE,2640,1920,144,224,352,1500,1440,1,3,56,0,0,0,0
1920 x 1440 @ 120Hz CVT (Reduced Blanking),4Bh,n/a,n/a,true,Generated using CVT (Reduced Blanking) Formula,380.500,182.933,119.956,NONINTERLACED,POSITIVE,NEGATIVE,2080,1920,48,32,80,1525,1440,3,4,78,0,0,0,0
2048 x 1152 @ 60Hz,54h,"E1h, C0h",n/a,true,*** NOT CVT COMPLIANT ***,162.000,72.000,60.000,NONINTERLACED,POSITIVE,POSITIVE,2250,2048,26,80,96,1200,1152,1,3,44,0,0,0,0
2560 x 1600 @ 60Hz CVT (Reduced Blanking),4Ch,n/a,"(1F, 38, 21)h",true,CVT Compliant,268.500,98.713,59.972,NONINTERLACED,POSITIVE,NEGATIVE,2720,2560,48,32,80,1646,1600,3,6,37,0,0,0,0
2560 x 1600 @ 60Hz,4Dh,n/a,"(1F, 38, 28)h",false,CVT Compliant,348.500,99.458,59.987,NONINTERLACED,NEGATIVE,POSITIVE,3504,2560,192,280,472,1658,1600,3,6,49,0,0,0,0
2560 x 1600 @ 75Hz,4Eh,n/a,"(1F, 38, 44)h",false,CVT Compliant,443.250,125.354,74.972,NONINTERLACED,NEGATIVE,POSITIVE,3536,2560,208,280,488,1672,1600,3,6,63,0,0,0,0
2560 x 1600 @ 85Hz,4Fh,n/a,"(1F, 38, 62)h",false,CVT Compliant,505.250,142.887,84.951,NONINTERLACED,NEGATIVE,POSITIVE,3536,2560,208,280,488,1682,1600,3,6,73,0,0,0,0
2560 x 1600 @ 120Hz CVT (Reduced Blanking),50h,n/a,n/a,true,Generated using CVT (Reduced Blanking) Formula,552.750,203.217,119.963,NONINTERLACED,POSITIVE,NEGATIVE,2720,2560,48,32,80,1694,1600,3,6,85,0,0,0,0
4096 x 2160 @ 60Hz CVT (Reduced Blanking v2),57h,n/a,n/a,true,Generated using CVT (Reduced Blanking v2) Formula,556.744,133.320,60.000,NONINTERLACED,POSITIVE,NEGATIVE,4176,4096,8,32,40,2222,2160,48,8,6,0,0,0,0
4096 x 2160 @ 59.94 Hz CVT (Reduced Blanking v2),58h,n/a,n/a,true,Generated using CVT (Reduced Blanking v2) Formula,556.188,133.187,59.940,NONINTERLACED,POSITIVE,NEGATIVE,4176,4096,8,32,40,2222,2160,48,8,6,0,0,0,0
